NAME	CD8 T	B	Naive CD4 T	CD14+ Mono	NK	FCGR3A+ Mono	Memory CD4 T	DC	Platelet
FES	3.32916185703159	3.44303016928073	3.3094527432419	111.865539134321	20.8781908770171	33.1652329681289	5.98839755805261	83.2456067982086	4.2021091164536
FEZ1	10.2413832498904	1.0411581521333	1.27135301380419	1	31.8699528779554	1.06217133082778	2.59543378392236	1.46077454522074	4.2021091164536
FFAR2	1.05979217346883	1.0411581521333	1.23166840214814	37.3267270995384	1.15492425868848	32.5504490461463	2.87680603308325	6.40205965542863	74.5280146193636
FGD2	6.15997078314141	61.565449520587	4.00716867004663	39.5602356677535	6.31815696387615	68.5878731709784	1.87427887130116	72.2628528063339	4.2021091164536
FGD4	1.05979217346883	2.19306264250625	2.17224130592617	12.7119136227185	3.77375300859908	37.6152494303844	1	14.6108791044118	4.2021091164536
FGFBP2	527.584992686626	20.0534560668442	12.8707409772014	12.3129913620139	2662.43074335368	14.7744367590487	13.4897630493866	12.4029532572742	4.2021091164536
FGFR1	3.09035462941817	1.0411581521333	3.95884823888841	1.39518753552496	2.54189224280894	1.06217133082778	1	15.4215919988252	4.2021091164536
FGFRL1	1.05979217346883	1.0411581521333	1.24015382995991	7.52400686380217	1.15492425868848	15.2098257816437	1	9.44766322475881	4.2021091164536
FGL2	12.1516257118746	14.8187049263934	14.6067203561168	279.273993180767	34.9560555393672	311.598921192298	14.6329914288067	184.345380267876	51.7744360835386
FHIT	5.71755365897489	18.0015226732257	68.4146675887582	14.1832361660737	11.9560568146899	4.10995302523836	229.410156855712	7.06471750527624	4.2021091164536
FHL1	7.76064182596487	14.2697966770488	21.7843656312678	7.610146861711	10.8564887702075	6.43673089372152	58.410555834741	15.2567129065786	687.204727146054
FHL3	22.3900839541862	8.08381404296608	3.95469098706731	87.0332083139045	70.6260494288887	13.9076794939069	7.68359165420424	38.4061575769619	4.2021091164536
FIBCD1	1.05979217346883	1.0411581521333	1	1	1.15492425868848	14.155426718053	1	1.46077454522074	4.2021091164536
FLJ20306	8.59420088898081	1.0411581521333	1	1.99098139846954	2.94228665520193	1.06217133082778	1.38788231455728	1.46077454522074	4.2021091164536
FLT3	1.05979217346883	1.0411581521333	1	3.5380499989946	1.15492425868848	1.06217133082778	1.15781111755338	31.7280334189943	4.2021091164536
FLT3LG	120.220179154431	20.6775059555668	250.859740987711	33.213640862159	18.3616416047042	20.8676771957288	298.215781109426	35.2824561651196	4.2021091164536
FMNL2	1.05979217346883	1.6145742151471	1	1	1.15492425868848	16.0572625121869	1.44536750637332	1.46077454522074	4.2021091164536
FN3K	3.25539816723473	1.0411581521333	6.45080228735125	6.15643660492344	1.15492425868848	1.06217133082778	3.76114834560409	1.46077454522074	190.91340722057
FNDC3B	6.73531752319696	3.02254634527372	6.06593634377133	19.0340355370261	34.485588217055	6.4971555333165	6.67162508781362	1.46077454522074	4.2021091164536
FNTB	2.53660198322471	3.5601122347833	3.4205506861339	3.18992759756766	1.15492425868848	2.22598538983367	1.23755224884675	13.1382382249829	203.404091385265
FOLR2	1.05979217346883	3.69750093129572	1.12576659379323	15.5588477752596	1.15492425868848	1.06217133082778	1	1.46077454522074	4.2021091164536
FOLR3	3.00797603046548	1.0411581521333	3.04546948186636	263.807511531797	1.15492425868848	6.59896266439061	1	8.2299458873411	4.2021091164536
FOSL2	21.8108074702834	1.0411581521333	9.24949888475581	36.8659316312263	33.1955262950376	68.3077380097755	2.1786108735369	54.2137758883099	4.2021091164536
FOXP1	69.2971051411502	202.797552170657	146.848817147759	57.560594777443	54.3258518764441	55.054078114039	253.793531805149	76.7869448553651	4.2021091164536
FPR1	6.20604263732749	3.09217314935417	8.527721432581	342.696673657152	1.15492425868848	179.368327404941	3.9082047123082	65.1717570142513	36.1650593920758
FRA10AC1	21.9909228225276	20.569093872648	59.0040333908755	12.4162166976958	8.03869014313368	7.96969477902551	64.9501918076218	17.4031907221243	4.2021091164536
FRMD3	1.05979217346883	1.0411581521333	1.04545142735477	2.14054522362296	1.15492425868848	3.5407869178957	1	1.46077454522074	51.7744360835386
FRMD4B	3.71697891435042	3.84299386975747	7.20444255845457	8.4788048396234	3.37040027016057	1.06217133082778	3.78194406567425	46.6971876839171	36.1650593920758
FSIP1	1.97920441436455	1.0411581521333	1.15355835255722	1	8.70990636823708	1.06217133082778	1	1.46077454522074	4.2021091164536
FSTL1	3.86697914524542	1.0411581521333	1	2.17635081725279	1.15492425868848	1.06217133082778	1.96415472934015	1.46077454522074	453.223496902658
